Episode,TotalReward,Steps,Epsilon
1,-4,15,1.0
2,-196,213,0.99
3,5,12,0.9801
4,-21,32,0.9703
5,-6,17,0.9606
6,-21,32,0.951
7,-4,21,0.9415
8,-42,59,0.9321
9,-3,20,0.9227
10,-26,43,0.9135
11,0,11,0.9044
12,-3,20,0.8953
13,-2,13,0.8864
14,-12,29,0.8775
15,-1,18,0.8687
16,-9,26,0.8601
17,-9,26,0.8515
18,7,10,0.8429
19,4,7,0.8345
20,-4,21,0.8262
21,-9,26,0.8179
22,7,10,0.8097
23,-16,27,0.8016
24,-7,24,0.7936
25,-19,30,0.7857
26,-25,42,0.7778
27,-9,26,0.77
28,-24,35,0.7623
29,1,16,0.7547
30,5,12,0.7472
31,-1,18,0.7397
32,-7,24,0.7323
33,6,11,0.725
34,0,17,0.7177
35,-15,32,0.7106
36,-24,41,0.7034
37,-12,29,0.6964
38,9,8,0.6894
39,8,9,0.6826
40,10,7,0.6757
41,5,12,0.669
42,4,13,0.6623
43,7,10,0.6557
44,10,7,0.6491
45,-2,19,0.6426
46,8,9,0.6362
47,12,5,0.6298
48,2,15,0.6235
49,-2,19,0.6173
50,10,7,0.6111
51,-1,18,0.605
52,6,11,0.599
53,11,6,0.593
54,11,6,0.587
55,-5,22,0.5812
56,-3,20,0.5754
57,8,9,0.5696
58,9,8,0.5639
59,4,13,0.5583
60,5,12,0.5527
61,12,5,0.5472
62,2,15,0.5417
63,12,5,0.5363
64,7,10,0.5309
65,5,12,0.5256
66,9,8,0.5203
67,5,12,0.5151
68,-21,38,0.51
69,8,9,0.5049
70,9,8,0.4998
71,8,9,0.4948
72,7,10,0.4899
73,5,12,0.485
74,7,10,0.4801
75,5,12,0.4753
76,7,10,0.4706
77,6,11,0.4659
78,12,5,0.4612
79,4,13,0.4566
80,10,7,0.452
81,7,10,0.4475
82,3,8,0.443
83,11,6,0.4386
84,-2,19,0.4342
85,9,8,0.4299
86,7,10,0.4256
87,12,5,0.4213
88,10,7,0.4171
89,12,5,0.4129
90,10,7,0.4088
91,8,9,0.4047
92,10,7,0.4007
93,12,5,0.3967
94,10,7,0.3927
95,10,7,0.3888
96,8,9,0.3849
97,12,5,0.381
98,5,12,0.3772
99,10,7,0.3735
100,9,8,0.3697
